Frame,Mean Displacement,Mean Velocity
1,3.9734654912657326,3.9734654912657326
2,4.916288296157371,4.916288296157371
3,3.244566145661754,3.244566145661754
4,3.908416029050897,3.908416029050897
5,3.351870952426037,3.351870952426037
6,3.6399839298082286,3.6399839298082286
7,2.158647929075617,2.158647929075617
8,4.97411713402489,4.97411713402489
9,4.494876705116331,4.494876705116331
10,3.1923759821903435,3.1923759821903435
11,7.119537912336062,7.119537912336062
12,2.9356397889490995,2.9356397889490995
13,5.093031977736034,5.093031977736034
14,3.857867606067506,3.857867606067506
15,4.097306112723379,4.097306112723379
16,5.353238068856,5.353238068856
17,3.684964877992897,3.684964877992897
18,3.388880743345762,3.388880743345762
19,4.239089042457026,4.239089042457026
20,3.441784773288513,3.441784773288513
21,4.487581908087314,4.487581908087314
22,3.562616456653844,3.562616456653844
23,2.93461715349724,2.93461715349724
24,2.9591969472179813,2.9591969472179813
25,5.236405977059619,5.236405977059619
26,4.205762902422371,4.205762902422371
27,4.545741763842611,4.545741763842611
28,4.7698128933884245,4.7698128933884245
29,4.176192832372752,4.176192832372752
30,4.684358245740435,4.684358245740435
31,3.63222325452243,3.63222325452243
32,3.64699423651966,3.64699423651966
33,3.1339420689255486,3.1339420689255486
